title,price_gbp,price_inr,rating,in_stock,category
A Light in the Attic,,,3,True,Poetry
Tipping the Velvet,,,1,True,Historical Fiction
Soumission,,,1,True,Fiction
Sharp Objects,,,4,True,Mystery
Sapiens: A Brief History of Humankind,,,5,True,History
The Requiem Red,,,1,True,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,,,4,True,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",,,3,True,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,,,4,True,Default
The Black Maria,,,1,True,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",,,2,True,Default
Shakespeare's Sonnets,,,4,True,Poetry
Set Me Free,,,5,True,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),,,5,True,Sequential Art
Rip it Up and Start Again,,,5,True,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",,,3,True,Music
Olio,,,1,True,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,,,1,True,Science Fiction
Libertarianism for Beginners,,,2,True,Politics
It's Only the Himalayas,,,2,True,Travel
In Her Wake,,,1,True,Thriller
How Music Works,,,2,True,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",,,3,True,Food and Drink
Chase Me (Paris Nights #2),,,5,True,Romance
Black Dust,,,5,True,Romance
Birdsong: A Story in Pictures,,,3,True,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,,,3,True,Default
Aladdin and His Wonderful Lamp,,,3,True,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,,,5,True,Nonfiction
Wall and Piece,,,4,True,Art
The Four Agreements: A Practical Guide to Personal Freedom,,,5,True,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,,,3,True,Nonfiction
The Elephant Tree,,,5,True,Thriller
The Bear and the Piano,,,1,True,Childrens
Sophie's World,,,5,True,Philosophy
Penny Maybe,,,3,True,Default
Maude (1883-1993):She Grew Up with the country,,,2,True,Default
"In a Dark, Dark Wood",,,1,True,Mystery
Behind Closed Doors,,,4,True,Thriller
You can't bury them all: Poems,,,2,True,Poetry
Slow States of Collapse: Poems,,,3,True,Poetry
Reasons to Stay Alive,,,2,True,Nonfiction
Private Paris (Private #10),,,5,True,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,,,5,True,Nonfiction
Without Borders (Wanderlove #1),,,2,True,New Adult
When We Collided,,,1,True,Contemporary
"We Love You, Charlie Freeman",,,5,True,Fiction
Untitled Collection: Sabbath Poems 2014,,,4,True,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",,,4,True,Nonfiction
Unicorn Tracks,,,3,True,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",,,1,True,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),,,1,True,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,,,3,True,Nonfiction
This One Summer,,,4,True,Sequential Art
Thirst,,,5,True,Fiction
The Torch Is Passed: A Harding Family Story,,,1,True,Add a comment
The Secret of Dreadwillow Carse,,,1,True,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",,,1,True,Food and Drink
The Past Never Ends,,,4,True,Mystery
The Natural History of Us (The Fine Art of Pretending #2),,,3,True,Young Adult
The Nameless City (The Nameless City #1),,,4,True,Sequential Art
The Murder That Never Was (Forensic Instincts #5),,,3,True,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,,,4,True,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",,,4,True,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,,3,True,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",,,5,True,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,,,1,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,,,1,True,Nonfiction
The Death of Humanity: and the Case for Life,,,4,True,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",,,3,True,Health
The Art Forger,,,3,True,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,,,1,True,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,,,5,True,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,,,4,True,Nonfiction
Soul Reader,,,2,True,Default
Security,,,2,True,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",,,3,True,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",,,2,True,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,,,2,True,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",,,3,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",,,5,True,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),,,5,True,Fantasy
"Pop Gun War, Volume 1: Gift",,,1,True,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",,,2,True,History
Patience,,,3,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",,,4,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),,,1,True,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,,,1,True,Self Help
On a Midnight Clear,,,3,True,Add a comment
Obsidian (Lux #1),,,2,True,Young Adult
My Paris Kitchen: Recipes and Stories,,,2,True,Food and Drink
Masks and Shadows,,,2,True,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",,,4,True,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",,,2,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",,,3,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),,,2,True,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",,,1,True,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),,,2,True,Add a comment
Join,,,5,True,Science Fiction
In the Country We Love: My Family Divided,,,4,True,Nonfiction
